LWR	fract	aLWR	afract	taxopath
1027	0.01336	7.689e+04	1	Eukaryota
2856	0.03714	3.351e+04	0.4358	Eukaryota;Alveolata
8.259	0.0001074	1715	0.0223	Eukaryota;Archaeplastida
406.3	0.005284	6174	0.0803	Eukaryota;Excavata
127	0.001652	994.4	0.01293	Eukaryota;Holomycota
73.96	0.0009619	1.992e+04	0.2591	Eukaryota;Rhizaria
59.81	0.0007778	1.016e+04	0.1321	Eukaryota;Amoebozoa
124.9	0.001625	2520	0.03278	Eukaryota;Stramenopiles
30.83	0.000401	376.5	0.004896	Eukaryota;Holozoa
0	0	132.2	0.001719	Eukaryota;Centrohelida
0.2588	3.366e-06	97.31	0.001266	Eukaryota;Hacrobia
13.09	0.0001702	43.75	0.000569	Eukaryota;Planomonads_Breviates
0	0	8.407	0.0001093	Eukaryota;Namako
0	0	53.83	0.0007	Eukaryota;Rigifilida
0	0	48.72	0.0006337	Eukaryota;Diphyllatea
0	0	115.4	0.0015	Eukaryota;Apusozoa
0	0	0.9259	1.204e-05	Eukaryota;Glaucophyta
